id,name,type,summary,difficulty,stars,starVotes,location,url,imgSqSmall,imgSmall,imgSmallMed,imgMedium,length,ascent,descent,high,low,longitude,latitude,conditionStatus,conditionDetails,conditionDate
5025822,Marshall Canyon,Recommended Route,Flow like a dream beneath the oaks in SoCal's very own Sherwood Forest,blue,4.4,94,"La Verne, California",https://www.mtbproject.com/trail/5025822/marshall-canyon,https://img.youtube.com/vi/QwxCACb0NBw/hqdefault.jpg,https://img.youtube.com/vi/QwxCACb0NBw/hqdefault.jpg,https://img.youtube.com/vi/QwxCACb0NBw/hqdefault.jpg,https://img.youtube.com/vi/QwxCACb0NBw/hqdefault.jpg,10.4,1355,-1356,2280,1239,-117.7765,34.13,Minor Issues,Some Mud - None,2020-10-11 13:04:26
3000688,Fullerton Loop,Recommended Route,"Popular and fun route ""behind the scenes"" around the City of Fullerton.",blue,3.9,133,"Fullerton, California",https://www.mtbproject.com/trail/3000688/fullerton-loop,https://img.youtube.com/vi/5Bmg-GUGIk8/hqdefault.jpg,https://img.youtube.com/vi/5Bmg-GUGIk8/hqdefault.jpg,https://img.youtube.com/vi/5Bmg-GUGIk8/hqdefault.jpg,https://img.youtube.com/vi/5Bmg-GUGIk8/hqdefault.jpg,11.2,669,-679,473,165,-117.9259,33.8796,All Clear,,2020-10-21 19:17:38
7011443,El Prieto Loop,Recommended Route,A fire road climb and a fun downhill singletrack.,black,4.5,74,"La Cañada Flintridge, California",https://www.mtbproject.com/trail/7011443/el-prieto-loop,https://cdn2.apstatic.com/photos/mtb/7031902_sqsmall_1562878051.jpg,https://cdn2.apstatic.com/photos/mtb/7031902_small_1562878051.jpg,https://cdn2.apstatic.com/photos/mtb/7031902_smallMed_1562878051.jpg,https://cdn2.apstatic.com/photos/mtb/7031902_medium_1562878051.jpg,8.3,1262,-1263,2396,1156,-118.1683,34.1936,All Clear,Mostly Dry,2020-10-19 15:32:43
3978385,Noble Canyon Round Trip,Recommended Route,A great half day work out with the technically challenging Noble Canyon singletrack.,black,4.6,67,"Pine Valley, California",https://www.mtbproject.com/trail/3978385/noble-canyon-round-trip,https://cdn2.apstatic.com/photos/mtb/537409_sqsmall_1554221284.jpg,https://cdn2.apstatic.com/photos/mtb/537409_small_1554221284.jpg,https://cdn2.apstatic.com/photos/mtb/537409_smallMed_1554221284.jpg,https://cdn2.apstatic.com/photos/mtb/537409_medium_1554221284.jpg,18.9,2435,-2440,5507,3693,-116.5227,32.8499,All Clear,Mostly Dry,2020-10-18 15:13:47
7004137,The Luge Loop,Recommended Route,"An OC classic, this night-legal ride features a scenic climb over the OC, and The Luge descent.",black,4.5,65,"Portola Hills, California",https://www.mtbproject.com/trail/7004137/the-luge-loop,https://i.vimeocdn.com/video/555401835_640.jpg,https://i.vimeocdn.com/video/555401835_640.jpg,https://i.vimeocdn.com/video/555401835_640.jpg,https://i.vimeocdn.com/video/555401835_640.jpg,7.7,1227,-1203,2302,1117,-117.6193,33.6841,All Clear,Dry,2020-07-31 11:48:38
5407487,Lower Monroe Truck Trail,Recommended Route,A great doubletrack to the top of Glendora Mountain Road and a screaming downhill.,blue,4.2,71,"Glendora, California",https://www.mtbproject.com/trail/5407487/lower-monroe-truck-trail,https://img.youtube.com/vi/-tqkJWwwWds/hqdefault.jpg,https://img.youtube.com/vi/-tqkJWwwWds/hqdefault.jpg,https://img.youtube.com/vi/-tqkJWwwWds/hqdefault.jpg,https://img.youtube.com/vi/-tqkJWwwWds/hqdefault.jpg,16.1,2319,-2319,3435,1201,-117.8367,34.1562,All Clear,Dry,2020-10-12 00:31:56
5240750,Gabrielino Trail: JPL to the USFS Dam,Recommended Route,An easy trail following the Arroyo.,blue,4.1,66,"La Cañada Flintridge, California",https://www.mtbproject.com/trail/5240750/gabrielino-trail-jpl-to-the-usfs-dam,https://cdn2.apstatic.com/photos/mtb/7000848_sqsmall_1554400951.jpg,https://cdn2.apstatic.com/photos/mtb/7000848_small_1554400951.jpg,https://cdn2.apstatic.com/photos/mtb/7000848_smallMed_1554400951.jpg,https://cdn2.apstatic.com/photos/mtb/7000848_medium_1554400951.jpg,8.8,577,-578,1689,1156,-118.1684,34.1935,Minor Issues,,2020-10-12 09:12:56
7000572,San Juan Lollipop,Recommended Route,"This is a long, hard climb with 11 miles of singletrack back to your car.",black,4.6,49,"Coto De Caza, California",https://www.mtbproject.com/trail/7000572/san-juan-lollipop,https://img.youtube.com/vi/U0Elfs9hECQ/hqdefault.jpg,https://img.youtube.com/vi/U0Elfs9hECQ/hqdefault.jpg,https://img.youtube.com/vi/U0Elfs9hECQ/hqdefault.jpg,https://img.youtube.com/vi/U0Elfs9hECQ/hqdefault.jpg,21.8,3344,-3344,3393,831,-117.5102,33.6016,All Clear,Dry - Overgrown tree  branches,2020-10-17 14:23:09
5629672,Tapia Canyon Rd Singletrack,Recommended Route,"A great tour combining the best singletrack around Tapia Canyon Rd (Sidewinder, G-Out, Dogtag, Kona)",blue,4.4,44,"Castaic, California",https://www.mtbproject.com/trail/5629672/tapia-canyon-rd-singletrack,https://cdn2.apstatic.com/photos/mtb/7007848_sqsmall_1554827886.jpg,https://cdn2.apstatic.com/photos/mtb/7007848_small_1554827886.jpg,https://cdn2.apstatic.com/photos/mtb/7007848_smallMed_1554827886.jpg,https://cdn2.apstatic.com/photos/mtb/7007848_medium_1554827886.jpg,19,1934,-1934,1945,1115,-118.614,34.4866,All Clear,Dry,2020-10-18 12:59:02
547528,Backbone Trail: Encinal Canyon,Recommended Route,"A fun, fast, beginner/intermediate, out-and-back ride on singletrack with great views.",blue,4.3,48,"Thousand Oaks, California",https://www.mtbproject.com/trail/547528/backbone-trail-encinal-canyon,https://cdn2.apstatic.com/photos/mtb/7023627_sqsmall_1554932519.jpg,https://cdn2.apstatic.com/photos/mtb/7023627_small_1554932519.jpg,https://cdn2.apstatic.com/photos/mtb/7023627_smallMed_1554932519.jpg,https://cdn2.apstatic.com/photos/mtb/7023627_medium_1554932519.jpg,10.2,1177,-1177,2387,1385,-118.8628,34.0856,All Clear,Dry,2020-10-18 11:18:58
